"author_name","paper_title"
"A Avgousti","Enhancing Online Accessibility of Digitized Artifacts from Small Museum Collections in Cyprus: An Empirical Evaluation of the CyprusArk Solution"
"A. Gangemi","ICON: An Ontology for Comprehensive Artistic Interpretations"
"Aadarsh Padiyath","The Role of Collaboration, Creativity, and Embodiment in AI Learning Experiences"
"Aadita Chaudhuri","Emergent. A post-pandemic living mobile gallery"
"Aakar Gupta","STAR: Smartphone-analogous Typing in Augmented Reality"
"Aaron Hertzmann","Visual Indeterminacy in GAN Art"
"Aaron J Juarez","Sampling the Glitch Spectrum: Exploring the Architecture of Digital Media"
"Aaron Liu-Rosenbaum","Chatterbox: an interactive system of gibberish agents"
"Aaron M. Ellison","Constructive Friction Creates a Third Space for Art/Science Collaborations"
"Aaron Quigley","RadarFoot: Fine-grain Ground Surface Context Awareness for Smart Shoes"
"Aaron Willette","Cross-platform and Cross-reality Design of Immersive Sonic Environments"
"Abby Aresty","Changing GEAR: The Girls Electronic Arts Retreat's Teaching Interfaces for Musical Expression"
"Abdulaziz Alaboudi","Hypothesizer: A Hypothesis-Based Debugger to Find and Test Debugging Hypotheses"
"Abdulrazak Saleh Yahya","A Comprehensive User Experience Analysis of Cultural Heritage Progressive Web App Using a Hybrid UEQ-IPA Approach"
"Abena Boadi-Agyemang","Parametric Haptics: Versatile Geometry-based Tactile Feedback Devices"
"Abhinandan Jain","Machine-enacted Modes of Creative Exploration"
"Abigale Stangl","Understanding Visual Arts Experiences of Blind People"
"Abirami Rathinasabapathi","Augmented Reality Supported Learning for Cultural Heritage of Taiwan in On-Site and Off-Site Environments: The Case of a Daxi Old Street"
"Achille Felicetti","Between Written and Visual Communication: CIDOC CRM Ontology for Medieval and Early Modern European Graffiti"
"Achuta Kadambi","ForceSight: Non-Contact Force Sensing with Laser Speckle Imaging"
"Adam Bencard","Metabolism and Art"
"Adam Bradley","Tied in Knots: A Case Study on Anthropographic Data Visualization About Sexual Harassment in the Academy"
"Adam Cole","Kiss/Crash: Using Diffusion Models to Explore Real Desire in the Shadow of Artificial Representations"
"Adam Cole","Rejected By My Own Robot: Studying the Potential for Artists to Subvert Technological Expectations Using Critical Design"
"Adam Pultz Melbye","Sculpting the Behaviour of the Feedback-Actuated Augmented Bass"
"Adam Pultz Melbye","NIME and the Environment: Toward a More Sustainable NIME Practice"
"Adam Pultz Melbye","Sustainable digital fabrication in NIME: Nine sustainability strategies for DMI production"
"Adam Schmidt","The Lorentz Lap Brass: Method for Frugal Integrated Sonic/Haptic Interaction"
"Adam Schmidt","The Hummellaphone: An Electromagnetically Actuated Instrument and Open-Source Toolkit"
"Adam Tindale","Unveiling New Artistic Dimensions in Calligraphic Arabic Script with Generative Adversarial Networks"
"Adam Tindale","Reshaping Time: Exploring grid interfaces for ansiorhythmic patterns"
"Adam Zaretsky","Body shopping: Challenging convention in the donation and use of bodily materials through art practice"
"Adam Zaretsky","Offering the Body: Performing proximity in the use of cellular material"
"Adan L. Benito Temprano","Exploring the (un)ambiguous Guitar: A Qualitative Study on the use of Gesture Disambiguation in Augmented Instrument Design"
"Adebunmi E Odefunso","Traditional African Dances Preservation Using Deep Learning Techniques"
"Adeilson “Froiid” William da Silva","Sensing the reality: reflections on artistic actions to defocus the real"
"Adelheid Mers","Performative Topologies – small gestures from within"
"Adem Doğangün","Evaluation of the Effect of Change in Support Conditions on the Seismic Behavior of a Historical Masonry Bridge"
"Adinda van ’t Klooster","Voice Responsive Virtual Reality"
"Aditya Gunturu","CrossTalk: Intelligent Substrates for Language-Oriented Interaction in Video-Based Communication and Collaboration"
"Aditya Shekhar Nittala","TactTongue: Prototyping ElectroTactile Stimulations on the Tongue"
"Adnan Hadziselimovic","Open justice transformations impacting extended reality (XR) environments"
"Adnan Karim","RealityTalk: Real-Time Speech-Driven Augmented Presentation for AR Live Storytelling"
"Adnan Marquez-Borbon","Collaborative Learning with Interactive Music Systems"
"Adnan Marquez-Borbon","Nuanced and Interrelated Mediations and Exigencies (NIME): Addressing the Prevailing Political and Epistemological Crises"
"Adnan Marquez-Borbon","Being (A)part of NIME: Embracing Latin American Perspectives"
"Adolfo Carvalho","Knowledge Discovery and the Aesthetics of Big Data Simulating the Herschel Observatory"
"Adriaan Odendaal","Moving Image and the Space around the Frame: Time-Based Installations and Forms of Experience"
"Adriaan Odendaal","Unveiling Interfaces: A Software Studies Board Game for Algorithmic Literacy"
"Adriaan Odendaal","Of Ice Shields, Oceans, and Train Yards: Research-Creation Toward Mythological Contact with a Feral Terrain"
"Adriaan Odendaal","Humanizing Technology through Post-Digital Art"
"Adriaan Odendaal","Alternative Aesthetics of Inclusive Design"
"Adriaan Odendaal","Leonardo Abstracts Service: Top-Rated LABS Abstracts 2019"
"Adriaan Odendaal","“Ah Ha” Moments: Novice Choreographers Using Defamiliarization in Digital Choreographic Technologies"
"Adriaan Odendaal","Species Interactions and Climate Change in the Loss of Joshua Trees and the Role of Eco-Art for Understanding Multispecies Connections"
"Adriaan Odendaal","Somatic Montage: Supra-Dimensional Composition in Cinema and the Arts"
"Adriaan Odendaal","Evolution of the Subject: Synthetic Biology in Fine Art Practice"
"Adriaan Odendaal","Responsive and Emotive Wearable Tech: Physiological Data, Devices and Communication"
"Adriaan Odendaal","3047: A Dark Room Body"
"Adriaan Odendaal","Productive Bodies"
"Adriaan Odendaal","Enviro-Envision: Visualizing Climate Change through Art"
"Adriaan Odendaal","Infinitesimal to Infinity: Ryoji Ikeda’s Data Composition and Space of Sensing"
"Adriaan Odendaal","DNA and RNA Sequences as Systems for Music Composition: Portfolio of Compositions"
"Adrian David Cheok","InnerBody: Using Interactive and Multisensory Interfaces to Design Behavioral Change"
"Adrian Friday","Unpacking the resource impacts of digitally-mediated domestic practices using resource trace interviewing"
"Adrian Gradinar","Making AI-Infused Products and Services More Legible"
"Adrian Hazzard","Jess+: AI and robotics with inclusive music-making"
"Adriana Knouf","Constructing Xenological Encounters"
"Adriana La Selva","Practicing Odin Teatret’s Archives: virtual translations of embodied knowledge through archival practices"
"Adriana Sá","Transdisciplinarity, Composition, Expression: Reflections on a Spherical Way of Thinking"
"Adriano Mancini","3VR: Vice Versa Virtual Reality Algorithm to Track and Map User Experience"
"Adrià Guardiola-Rius","Taboo and capitalism: Of incest, YouTube and profanation in contemporary capitalism"
"Advait Sarkar","Excello: exploring spreadsheets for music composition"
"Adán L. Benito Temprano","Pipeline for recording datasets and running neural networks on the Bela embedded hardware platform"
"Afonso Dias Ramos","Farewell to Critical Theory"
"Afroditi Psarra","Voices and Voids: Subverting Voice Assistant Systems through Performative Experiments"
"Agapetos Aia-Fa’aleava","TransHuman Saunter: Multispecies Storytelling in Precarious Times"
"Agnieszka Anna Wołodźko","Demonological re-enchantments: Or how to contaminate through intimate stories of commons without consensus"
"Agnieszka Golda","Abstracts from the Spectra 2018 Symposium Part 1: Keynote and Materiality"
"Agnieszka Golda","Enchanting Materialities: e-textiles installations for an ecosophic world"
"Agnieszka Jelewska","Spectrograms of the environment: entangled human and nonhuman histories"
"Agnieszka Mendel","ancestors: an illuminated video"
"Agostino Di Scipio","User Needs in the Musical Metaverse: A Case Study with Electroacoustic Musicians"
"Agustín Ortiz Herrera","Artistic Residencies as Critical Research: Entangled Methodologies for Future Science."
"Ahmad Azaini Abdul Manaf","A Comprehensive User Experience Analysis of Cultural Heritage Progressive Web App Using a Hybrid UEQ-IPA Approach"
"Ahmad Taka","BrightMarker: 3D Printed Fluorescent Markers for Object Tracking"
"Ahmet Emin Memi¸s","The Hyper-Ney: An Enhanced Traditional Flute"
"Aigerim Shunayeva","Sketching in-vehicle ambient lighting in virtual reality with the Wizard-of-Oz method"
"Aiguo Song","Haptic Rendering of Neural Radiance Fields"
"Aileen Blaney","The Flesh of Imagination: Locating Materiality in Biology-Inspired Visual Art"
"Ailin Li","AesUST: Towards Aesthetic-Enhanced Universal Style Transfer"
"Aino Kianto","A psychological perspective on the sociotechnical enablers of knowledge worker digital creativity"
"Aino Ojala","I Feel You: Exploring possibilities to create touch-responsive woven textiles imitating living beings"
"Ainá Rocha","Contemporary phantasmagorias"
"Aiqing Nie","How to Arrange Texts and Pictures for Online Visitors — Comparing Basic Ceramic Display Forms with Eye Tracking"
"Aisling Kelliher","Reclaiming and Commemorating Difficult Felt Experiences"
"Aistė Laisvė Viršulytė","The Gap: Science Always Goes Before the Law"
"Aitziber Egusquiza","A Robust Monitoring Platform for Rural Cultural and Natural Heritage"
"Aiyun Huang","On Parallel Performance Practices: Some Observations on Personalizing DMIs as Percussionists"
"Ajay Kapur","SQUISHBOI: A Multidimensional Controller for Complex Musical Interactions using Machine Learning"
"Ajay Kapur","Overview of NIME Techniques Applied to Traditional Korean Instruments"
"Akarsh Aurora","BrightMarker: 3D Printed Fluorescent Markers for Object Tracking"
"Aki Järvinen","Restoring the recent past: Learnings from producing a retrospective of VR content from the UK"
"Akifumi Takahashi","Interactive Benefits from Switching Electrical to Magnetic Muscle Stimulation"
"Akihiro Kubota","RawData, Rough Mix: Towards an Integrated Practice of Making, Performance and Pedagogy"
"Akihiro Matsuura","Playful Audio-Visual Interaction with Spheroids"
"Akihiro Yamada","Sound of Ikebana: Fluid Artwork Created under Zero-G Using Parabolic Flight"
"Akira Brown","Musical pathways through the no-input mixer"
"Akira Nakayasu","Animated Robotic Sculptures: Using SMA Motion Display to Create Lifelike Movements"
"Akira Segawa","The Re-Inventing the Wheel Project: An archaeological approach for making things alternatively"
"Akis Amprazis","Brainwaves-driven Effects Automation in Musical Performance"
"Akito van Troyer","Voice at NIME: a Taxonomy of New Interfaces for Vocal Musical Expression"
"Akshay Kothakonda","FibeRobo: Fabricating 4D Fiber Interfaces by Continuous Drawing of Temperature Tunable Liquid Crystal Elastomers"
"Akshay Sharma","ScaffoldSketch: Accurate Industrial Design Drawing in VR"
"Aksiniya Peycheva","A Transdisciplinary Approach in Art: Translating Physical Trauma into a Geographic Map"
"Alain B Renaud","GROUPTHINK: Telepresence and Agency During Live Performance"
"Alain Bonardi","FAUST Multiplatform toolbox for Body Brain Digital Musical Instruments"
"Alain Lioret","Deconstructing the isolated astronaut-artist paradigm"
"Alain Renaud","Participatory presence – social connectedness through collaborative art practices"
"Alain Renaud","KIMA: The Wheel—Voice Turned into Vision: A Participatory, Immersive Visual Soundscape Installation"
"Alain Thibault","The Enigma A/V performance & the concept of Agnostic Media Environment (AME)"
"Alan Chamberlain","Explainable AI for the Arts 2 (XAIxArts2)"
"Alan Chamberlain","Explainable AI for the Arts: XAIxArts"
"Alan Chamberlain","GROUPTHINK: Telepresence and Agency During Live Performance"
"Alan Marsden","New Prospects for Information Theory in Arts Research"
"Alan Tan","Idyll Studio: A Structured Editor for Authoring Interactive & Data-Driven Articles"
"Alanson Sample","BrushLens: Hardware Interaction Proxies for Accessible Touchscreen Interface Actuation"
"Alara Dirik","MIDISpace: Finding Linear Directions in Latent Space for Music Generation"
"Alarith Uhde","LoopBoxes– Evaluation of a Collaborative Accessible Digital Musical Instrument"
"Albert A Palacios","An Ontological Approach for Unlocking the Colonial Archive"
"Albert Zhang","Choreographing Sound: Co-creating Music and Movement through Touch with the Magical Musical Mat"
"Albert-Ngabo Niyonsenga","Take Five: Improving Maintainability and Reliability of the T-Stick"
"Albert-Ngabo Niyonsenga","Tools and Techniques for the Maintenance and Support of Digital Musical Instruments"
"Alberto Boem","Harmonizing the Musical Metaverse: Unveiling Needs, Tools, and Challenges from Experts’ Point of View"
"Alberto Boem","Non-Rigid Musical Interfaces: Exploring Practices, Takes, and Future Perspective"
"Alberto Boem","User Needs in the Musical Metaverse: A Case Study with Electroacoustic Musicians"
"Alberto Calzado-Martínez","Integrated Information System for 3D Interactive Reconstruction of an Archaeological Site"
"Alberto Cannavò","Passive Haptics and Conversational Avatars for Interacting with Ancient Egypt Remains in High-Fidelity Virtual Reality Experiences"
"Alberto Valverde","Beyond Human Perception"
"Alec McGail","Shifting Winds: Gendered Structures of Academic Mentorship"
"Alec van den Broeck","Enriching Image Archives via Facial Recognition"
"Alecsandru Chiroşca","INFRA-ART: An Open Access Spectral Library of Art-related Materials as a Digital Support Tool for Cultural Heritage Science"
"Alejandra Crescentino","Stayin' Alive. Southern Cone Video Art Archives in Context"
"Alejandro Moreo","Explainable Authorship Identification in Cultural Heritage Applications"
"Alejandro Rodriguez","Privacy in the Age of Mobile XR"
"Alejandro Valencia-Tobon","Art, Science and Anthropology: Co-Creating Knowledge and Building Peace in Colombia"
"Aleksander Gil","Machine and Deep Learning Implementations for Heritage Building Information Modelling: A Critical Review of Theoretical and Applied Research"
"Aleksandra Dulic","A Networked Multi-channel Audio and Video Authoring and Display System for Immersive Recombinatory Media Installations"
"Aleksandra Dulic","Aeon Performance System for Visual Music"
"Aleksandra Dulic","Water Ways Visualization Computational Reflexivity for Sustainability Action"
"Aleksandra Dulic","Light Up Kelowna: Coordination and Development of Networked Community-based Media Art Urban Screen Infrastructure"
"Aleksandra Kaminska","Nano-Optical Image-Making: Morphologies, Devices, Speculations"
"Aleksandra Kaminska","Odorama V2: Prototyping Touch-Smell Synesthesia to Promote Neurocognitive Empathy"
"Aleksandra Shatskikh","The Cosmic Visionariness of Kazimir Malevich | Космическое визионерство Казимира Малевича"
"Aleksandra Webb","It’s not just about technology! Creativity as a driving force for nurturing the development of skills for digital performance"
