"author_name","university_name"
"Balazs Andras Ivanyi","Aalborg University"
"Karla Zavala","Aalborg University"
"Adriaan Odendaal","Aalborg University"
"Dan Overholt","Aalborg University"
"Mads Walther-Hansen","Aalborg University"
"Anders Eskildsen","Aalborg University"
"Kate Bosen","Aalborg University"
"Mário Barros","Aalborg University"
"Pelle J. Christensen","Aalborg University"
"Truls Tjemsland","Aalborg University"
"Qi Ai","Aalborg University"
"Christian Vasileios Tsalidis de Zabala","Aalborg University"
"Balázs Iványi","Aalborg University"
"Natacha Lamounier","Aalborg University"
"Lilla Julia Toth","Aalborg University"
"Stefania Serafin","Aalborg University"
"Truls Bendik Tjemsland","Aalborg University"
"Ali Adjorlu","Aalborg University"
"Scott James Naylor","Aalborg University"
"Morten Søndergaard","Aalborg University"
"Silvin Willemsen","Aalborg University"
"Emmanouil Dimogerontakis","Aalborg University"
"Doga Cavdir","Aalborg University"
"Marcus Alexander Dyrholm","Aalborg University"
"Koray Tahirog˘lu","Aalto University"
"Einat Amir","Aalto University"
"Sourya Sen","Aalto University"
"Mikko Sams","Aalto University"
"Juan C. Duarte Regino","Aalto University"
"Joongi Shin","Aalto University"
"Mari Keski-Korsu","Aalto University"
"Margherita Pevere","Aalto University"
"Jihye Lee","Aalto University"
"Patrizia Costantin","Aalto University"
"Samir Bhowmik","Aalto University"
"Heikki Rantala","Aalto University"
"Michail Kouratoras","Aalto University"
"Laura Beloff","Aalto University"
"Teemu Leinonen","Aalto University"
"Mamdooh Afdile","Aalto University"
"Koray Tahiroğlu","Aalto University"
"Jeongki Lim","Aalto University"
"Mikko Koho","Aalto University"
"Miranda Kastemaa","Aalto University"
"Aino Ojala","Aalto University"
"Michael A Hedderich","Aalto University"
"Oskar Koli","Aalto University"
"Andrés Lucero","Aalto University"
"Antti Oulasvirta","Aalto University"
"Eero Hyvönen","Aalto University"
"Juan Carlos Duarte Regino","Aalto University"
"Petri Leskinen","Aalto University"
"Julia Lohmann","Aalto University"
"Marcel Borowski","Aarhus University"
"Jens Emil Grønbæk","Aarhus University"
"Eve Hoggan","Aarhus University"
"Clemens Klokmose","Aarhus University"
"Philip Tchernavskij","Aarhus University"
"Peter Dalsgaard","Aarhus University"
"Jonas Frich","Aarhus University"
"Christoph Johns","Aarhus University"
"João Evangelista Belo","Aarhus University"
"Ken Pfeuffer","Aarhus University"
"Midas Nouwens","Aarhus University"
"Kasper Heiselberg","Aarhus University"
"Minna Pakanen","Aarhus University"
"Majken Kirkegaard Rasmussen","Aarhus University"
"Christian Ulrik Andersen","Aarhus University"
"Søren Bro Pold","Aarhus University"
"Maja Bak Herrie","Aarhus University"
