"paper_title","author_name","is_first_author"
"""Rebooting memories"": creating ""flow"" and inheriting memories from colorized photographs","Anju Niwata",True
"""Rebooting memories"": creating ""flow"" and inheriting memories from colorized photographs","Hidenori Watanave",False
"""Tint and Form"": The Geometric Philosophy Underlying Oliver Byrne’s Elements","Clare Marie Moriarty",True
"#MeToo Anti-Network","Nicole Martin",False
"#MeToo Anti-Network","Kim Albrecht",True
"#MeToo Anti-Network","Catherine D'Ignazio",False
"#MeToo Anti-Network","Matthew Battles",False
"'Our Families' by Marta Pinto: An Audiovisual Essay on 'A Portuguese Farewell' and 'Tokyo Story'","Ana Isabel Soares",True
"'イ'(1926) by BioLuminescent Bacteria","Kazuhiro Jo",False
"'イ'(1926) by BioLuminescent Bacteria","Takumi Saeki",True
"(Mis)Matching Metadata: Improving Accessibility in Digital Visual Archives through the EyCon Project","Katherine Aske",True
"(Mis)Matching Metadata: Improving Accessibility in Digital Visual Archives through the EyCon Project","Marina Giardinetti",False
"(Re)imagining human-yeasts relations via art-science collaboration","Olga Timurgalieva",True
"(Re)imagining human-yeasts relations via art-science collaboration","Eva Direito",False
"(Re)imagining human-yeasts relations via art-science collaboration","Patrícia Moreira",False
"(W)E-waste: Creative Making with Wasted Computing Devices","Wendy G Ju",False
"(W)E-waste: Creative Making with Wasted Computing Devices","Jasmine Lu",True
"(W)E-waste: Creative Making with Wasted Computing Devices","Pedro Lopes",False
"(W)E-waste: Creative Making with Wasted Computing Devices","Ilan Mandel",False
"20 NIMEs: Twenty Years of New Interfaces for Musical Expression","Stefano Fasciani",True
"20 NIMEs: Twenty Years of New Interfaces for Musical Expression","Jackson Goode",False
"3047: A Dark Room Body","Jennifer (Juniper) Harrower",False
"3047: A Dark Room Body","Janna Ahrndt",False
"3047: A Dark Room Body","Rain Ashford",False
"3047: A Dark Room Body","Kristin Carlson",False
"3047: A Dark Room Body","Kathleen Deck",False
"3047: A Dark Room Body","Mario Duarte",False
"3047: A Dark Room Body","Lucie Lederhendler",False
"3047: A Dark Room Body","Joo Yun Lee",False
"3047: A Dark Room Body","Louise Mackenzie",False
"3047: A Dark Room Body","Giusy Pirrotta",False
"3047: A Dark Room Body","Sanjay Sahota",False
"3047: A Dark Room Body","Valentina Serrati",False
"3047: A Dark Room Body","Vygandas “Vegas” Šimbelis",False
"3047: A Dark Room Body","Chelsea Thompto",False
"3047: A Dark Room Body","Clea T. von Chamier-Waite",False
"3047: A Dark Room Body","Karla Zavala",False
"3047: A Dark Room Body","Sheila Pinkel",True
"3047: A Dark Room Body","Adriaan Odendaal",False
"360-Degree Panorama Generation from Few Unregistered NFoV Images","Rong Xie",False
"360-Degree Panorama Generation from Few Unregistered NFoV Images","Li Song",False
"360-Degree Panorama Generation from Few Unregistered NFoV Images","Jionghao Wang",True
"360-Degree Panorama Generation from Few Unregistered NFoV Images","Ziyu Chen",False
"360-Degree Panorama Generation from Few Unregistered NFoV Images","Jun Ling",False
"3D Printing Backwards","Dr Theo Harper",True
"3D Printing Magnetophoretic Displays","Zeyu Yan",True
"3D Printing Magnetophoretic Displays","Liang He",False
"3D Printing Magnetophoretic Displays","Huaishu Peng",False
"3D Printing Magnetophoretic Displays","Hsuanling Lee",False
"3DEmo: For Portrait Emotion Recognition with New Dataset","Sos S Agaian",False
"3DEmo: For Portrait Emotion Recognition with New Dataset","Shao Liu",True
