"title","conference_name","url"
"ReCollection: Creating synthetic memories with AI in an interactive art installation","ACM Siggraph 2024","https://dl.acm.org/doi/10.1145/3664207"
"reconFIGURE: Confronting Audiences with Digital Doppelgängers","ACM Siggraph 2024",NULL
"Cell Space: Augmented Awareness of Intercorporeality","ACM Siggraph 2024",NULL
"Sisyphus: A Robotic Vignette of Systemic Conflict and Democratic Endeavors","ACM Siggraph 2024",NULL
"GPT-ME: A Human-AI Cognitive Assemblage","ACM Siggraph 2024",NULL
"Critical Climate Machine: A Visual and Musical Exploration of Climate Misinformation through Machine Learning","ACM Siggraph 2024",NULL
"Floating on the Boundary: Perceptions of Reality in a Half-Digital Half-Physical Bunny","ACM Siggraph 2024",NULL
"Lightning Artist Toolkit: A Hand-Drawn Volumetric Animation Pipeline","ACM Siggraph 2024",NULL
"Southern Wind Algorist: Merging Nine Algorithms with Nine Gay Stories Written in Classical Chinese","ACM Siggraph 2024",NULL
"The Olympus Programming Language","ACM Siggraph 2024",NULL
"Unveiling New Artistic Dimensions in Calligraphic Arabic Script with Generative Adversarial Networks","ACM Siggraph 2024",NULL
"Ephemera: Language as a Virus - AI-driven Interactive and Immersive Art Installation","ACM Siggraph 2024",NULL
"Probabilistic Craft- Materialization of generated images using digital and traditional craft","ACM Siggraph 2024",NULL
"Handcrafting in Zero Gravity: Reinventing the Spindle as An Artistic Intervention in Space Research","ACM Siggraph 2024",NULL
"A Concert in a Vanished Church: Contextualizing Peace Island's Auditory History with Modern Technology","ACM Siggraph 2024",NULL
"Kiss/Crash: Using Diffusion Models to Explore Real Desire in the Shadow of Artificial Representations","ACM Siggraph 2023",NULL
"Immersive experience of Chinese poems and paintings","ACM Siggraph 2023",NULL
"Intersection of Seeing: New Ways of Experiencing Reality using Autonomous Volumetric Capture System","ACM Siggraph 2023",NULL
"Sonification of a juggling performance using spatial audio","ACM Siggraph 2023",NULL
"Lights! Dance! Freeze!: Exploring the dance-musical filmic space using embodied search in an interactive installation","ACM Siggraph 2023",NULL
"Bodylab: in virtuo sculpting, painting and performing of full-body avatars","ACM Siggraph 2023",NULL
"Movement Quality Visualization for Wheelchair Dance","ACM Siggraph 2023",NULL
"Aquaterrestrial Recolonization: AI Environmentalist Toward Design For Climate Action Related Behaviour Change","ACM Siggraph 2023",NULL
"Beauty: Explorations of Machine-Microbial Agencies","ACM Siggraph 2023",NULL
"Synplant: Cymatics Visualization of Plant-Environment Interaction Based on Plants Biosignals","ACM Siggraph 2023",NULL
"Communing with Creative AI","ACM Siggraph 2023",NULL
"Using Experimental Filmmaking to Create an Engaging Brain-Computer Interface","ACM Siggraph 2023",NULL
"Fine Motor Skills: Operating standard robotic fabrication as a generative system","ACM Siggraph 2023",NULL
"The Kestrel Drone: Reimagining Bird's Eye View with Biomimetic AI-drone for Bird Strike Prevention","ACM Siggraph 2023",NULL
"Dream Painter: Exploring creative possibilities of AI-aided speech-to-image synthesis in the interactive art context","ACM Siggraph 2022",NULL
"An Aquarium of Machines: A Physically Realized Artificial Life Simulation","ACM Siggraph 2022",NULL
"Traditional African Dances Preservation Using Deep Learning Techniques","ACM Siggraph 2022",NULL
"Three Stage Drawing Transfer: Collaborative Drawing Between a Generative Adversarial Network, Co-robotic Arm, and Five-Year-Old Child","ACM Siggraph 2022",NULL
"Woven Behavior and Ornamentation: Simulation-Assisted Design and Application of Self-Shaping Woven Textiles","ACM Siggraph 2022",NULL
"FaceType: Crafting Written Impressions of Spoken Expression","ACM Siggraph 2022",NULL
"Erratics on the Road to Wigan Pier: The Creation of TouchAR","ACM Siggraph 2022",NULL
"A Tale of Two Productions: A Christmas Carol On Stage and in VR","ACM Siggraph 2022",NULL
"Dissecting My Data Body: How to Know Thyself as a Virtual Reality in the Digital Age","ACM Siggraph 2022",NULL
"GROUPTHINK: Telepresence and Agency During Live Performance","ACM Siggraph 2022",NULL
"Below Victory: Subsurface Radar Advances for Creative Digital Heritage","ACM Siggraph 2022",NULL
"KineCAM: An Instant Camera for Animated Photographs","ACM Siggraph 2022",NULL
"In Search of the Plastic Image: a Media Archaeology of Scan Processing","ACM Siggraph 2022",NULL
"The Ghost in The Machine: Digital Stylization and Expressive Re-Materialization of Ancient Ceramics","ACM Siggraph 2022",NULL
"Field of Leaves: An Interactive Installation Sprouting Leaves Out of Public Money","ACM Siggraph 2022",NULL
"Bad Mother / Good Mother: The Poetics and Politics of the Sounds of Invisible Labor","ACM Siggraph 2021",NULL
"Can the Subaltern Speak?: Feminism in Robotic Mask Design","ACM Siggraph 2021",NULL
"Cangjie's Poetry: An Interactive Art Experience of a Semantic Human-Machine Reality","ACM Siggraph 2021",NULL
"Imaginary Stroke Movement Measurement and Visualization","ACM Siggraph 2021",NULL
"Instruments of Vision: Eye-Tracking and Robotics as an Embodied Interface","ACM Siggraph 2021",NULL
"Jan van Eyck's Perspectival System Elucidated Through Computer Vision","ACM Siggraph 2021",NULL
