"name","is_institution","formal_version","chinese_name","related_university"
"Aalborg University",False,"Aalborg University","奥尔堡大学",NULL
"Aalto University",False,"Aalto University","阿尔托大学",NULL
"Aarhus University",False,"Aarhus University","奥胡斯大学",NULL
"Abertay University",False,"Abertay University","阿伯泰大学",NULL
"Aberystwyth University",False,"Aberystwyth University","阿伯里斯特威斯大学",NULL
"Ableton AG",True,"Ableton AG","Ableton股份公司",NULL
"Academia Sinica",True,"Academia Sinica","中央研究院","Academia Sinica"
"Academy of Arts",False,"Academy of Art University","旧金山艺术大学",NULL
"Academy of Arts and Design, Tsinghua University",False,"Academy of Arts and Design, Tsinghua University","清华大学美术学院",NULL
"Academy of Fine Arts in Warsaw",False,"Academy of Fine Arts in Warsaw","华沙美术学院",NULL
"Academy of Fine Arts, Leipzig",False,"Academy of Fine Arts, Leipzig","莱比锡美术学院",NULL
"Academy of Media Arts Cologne",False,"Academy of Media Arts Cologne","科隆媒体艺术学院",NULL
"Actors Theatre of Louisville",True,"Actors Theatre of Louisville","路易斯维尔演员剧院",NULL
"Adam Mickiewicz University",False,"Adam Mickiewicz University","亚当·密茨凯维奇大学",NULL
"Adelphi University",False,"Adelphi University","阿德菲大学",NULL
"Adobe Design Lab",True,"Adobe Design Lab","Adobe设计实验室","University of California, Los Angeles"
"Adobe Research",True,"Adobe Research","Adobe研究院",NULL
"ADVANTEST",True,"ADVANTEST","爱德万测试公司",NULL
"Afyon Kocatepe University",False,"Afyon Kocatepe University","阿菲永科贾泰佩大学",NULL
"AGH University of Science and Technology",False,"AGH University of Science and Technology","AGH科技大学",NULL
"Agile Lens",True,"Agile Lens","Agile Lens",NULL
"AI.R Lab",True,"AI.R Lab","AI.R实验室",NULL
"AIAC Laboratory",True,"AIAC Laboratory","AIAC实验室",NULL
"Akademie der bildenden Künste Wien",False,"Akademie der bildenden Künste Wien","维也纳美术学院",NULL
"Al-Zaytoonah University of Jordan",False,"Al-Zaytoonah University of Jordan","约旦扎伊图纳大学",NULL
"Albert Einstein Center for Fundamental Physics",True,"Albert Einstein Center for Fundamental Physics","阿尔伯特·爱因斯坦基础物理学中心","University of Bern"
"Algorhythmic Software Design",True,"Algorhythmic Software Design","Algorhythmic软件设计",NULL
"Allen Institute for AI",True,"Allen Institute for AI","艾伦人工智能研究所",NULL
"AlphaTheta Corporation",True,"AlphaTheta Corporation","AlphaTheta公司",NULL
"Amazon Center for Music Research, Ubiquitous Music Group",True,"Amazon Center for Music Research, Ubiquitous Music Group","亚马逊音乐研究中心，普适音乐小组",NULL
"Amherst College",False,"Amherst College","阿默斯特学院",NULL
"Analema Group",True,"Analema Group","Analema 团队",NULL
"Anhui Renhe Data Technology Co., Ltd.",True,"Anhui Renhe Data Technology Co., Ltd.","安徽仁和数据技术有限公司",NULL
"Anhui University of Finance and Economics",False,"Anhui University of Finance and Economics","安徽财经大学",NULL
"Anna University",False,"Anna University","安娜大学",NULL
"anno lab inc.",True,"anno lab inc.","anno lab公司",NULL
"Anthropic",True,"Anthropic","Anthropic人工智能公司",NULL
"Anthropocene Cookbook",True,"Anthropocene Cookbook","人类世食谱",NULL
"Appalachian State University",False,"Appalachian State University","阿巴拉契亚州立大学",NULL
"Apple",True,"Apple","苹果公司",NULL
"Arcanes",True,"Arcanes","Arcanes",NULL
"ArchCave",True,"ArchCave","ArchCave",NULL
"Archives Portal Europe Foundation",True,"Archives Portal Europe Foundation","欧洲档案门户基金会",NULL
"Argonne National Laboratory",True,"Argonne National Laboratory","阿贡国家实验室",NULL
"Aristotle University of Thessaloniki",False,"Aristotle University of Thessaloniki","塞萨洛尼基亚里士多德大学",NULL
"Arizona State University",False,"Arizona State University","亚利桑那州立大学",NULL
"ArkéoTopia",True,"ArkéoTopia","ArkéoTopia研究组织",NULL
"Ars Astronautica",True,"Ars Astronautica","太空艺术",NULL
"Ars industrialis",True,"Ars industrialis","工业艺术",NULL
"Art and Science Studio LancelMaat",True,"Art and Science Studio LancelMaat","艺术与科学工作室LancelMaat",NULL
"Art Eye-D Associates LLC",True,"Art Eye-D Associates LLC","Art Eye-D 联合公司",NULL
"Art Plus Code Inc",True,"Art Plus Code Inc","Art Plus Code公司",NULL
"ArtbyMLO",True,"ArtbyMLO","ArtbyMLO",NULL
"ARTENSO",True,"ARTENSO","ARTENSO",NULL
"ArtEZ University of the Arts",False,"ArtEZ University of the Arts","ArtEZ艺术大学",NULL
"Artpool Art Research Center",True,"Artpool Art Research Center","Artpool艺术研究中心",NULL
"Arts & Métiers Sciences et Technologies",False,"Arts & Métiers Sciences et Technologies","艺术与工艺科学与技术学院",NULL
"Artsadmin",True,"Artsadmin","艺术管理",NULL
"ArtSci and Technology, Envi_Art Lab",True,"ArtSci and Technology, Envi_Art Lab","艺术科学与技术，Envi_Art实验室",NULL
"Artvin Çoruh University",False,"Artvin Çoruh University","阿尔特温乔鲁大学",NULL
"Aruma",True,"Aruma","Aruma",NULL
"Asian Art Museum of San Francisco",True,"Asian Art Museum of San Francisco","旧金山亚洲艺术博物馆",NULL
"Assiut University",False,"Assiut University","阿斯尤特大学",NULL
"Association APO33",True,"Association APO33","APO33协会",NULL
"Athens School of Fine Arts",False,"Athens School of Fine Arts","雅典美术学院",NULL
"ATIproject",True,"ATIproject","ATIproject",NULL
"Auckland University of Technology",False,"Auckland University of Technology","奥克兰理工大学",NULL
"Audio Description Development Association",True,"Audio Description Development Association","音频描述开发协会",NULL
"Australian Institute of Music",False,"Australian Institute of Music","澳大利亚音乐学院",NULL
"Austrian Party for Human Freedom and Civil Rights",True,"Austrian Party for Human Freedom and Civil Rights","奥地利人类自由与公民权利党",NULL
"Autodesk",True,"Autodesk","欧特克公司",NULL
"Autodesk Research",True,"Autodesk Research","欧特克研究院",NULL
"AVANS University of Applied Sciences",False,"AVANS University of Applied Sciences","阿芬斯应用科技大学",NULL
"Avid",True,"Avid","Avid公司",NULL
"Babeș-Bolyai University of Cluj-Napoca",False,"Babeș-Bolyai University of Cluj-Napoca","克卢日-纳波卡巴比什-博雅依大学",NULL
"Ball State University",False,"Ball State University","鲍尔州立大学",NULL
"Balleteatro",True,"Balleteatro","Balleteatro",NULL
"Baltic Film, Media and Arts School",False,"Baltic Film, Media and Arts School","波罗的海电影、媒体与艺术学院",NULL
"Baltic Film, Media and Arts School, Tallinn University",False,"Baltic Film, Media and Arts School, Tallinn University","塔林大学波罗的海电影、媒体与艺术学院",NULL
"Banaras Hindu University",False,"Banaras Hindu University","瓦拉纳西印度教大学",NULL
"Bar Ilan University",False,"Bar Ilan University","巴伊兰大学",NULL
"Bard College",False,"Bard College","巴德学院",NULL
"Bard College Berlin",False,"Bard College Berlin","巴德学院柏林分校",NULL
"Barnard College",False,"Barnard College","巴纳德学院",NULL
"Batebit Artesania Digital",True,"Batebit Artesania Digital","Batebit数字工艺",NULL
"BAU, Centro Universitario de Artes y Diseño de Barcelona",True,"BAU, Centro Universitario de Artes y Diseño de Barcelona","巴塞罗那艺术与设计大学中心",NULL
"Bauhaus University Weimar",False,"Bauhaus University Weimar","魏玛包豪斯大学",NULL
"Beihang University",False,"Beihang University","北京航空航天大学",NULL
"Beijing Institute for General Artificial Intelligence",True,"Beijing Institute for General Artificial Intelligence","北京通用人工智能研究院",NULL
"Beijing Normal University",False,"Beijing Normal University","北京师范大学",NULL
"Beijing Sankuai Online Technology Co., Ltd",True,"Beijing Sankuai Online Technology Co., Ltd","北京三快在线科技有限公司",NULL
"Beijing University of Posts and Telecommunications",False,"Beijing University of Posts and Telecommunications","北京邮电大学",NULL
"Beijing University of Technology",False,"Beijing University of Technology","北京工业大学",NULL
"Beijing Yuguo Culture and Technology Ltd. Inc.",True,"Beijing Yuguo Culture and Technology Ltd. Inc.","北京雨果文化科技有限公司",NULL
"Berggruen Institute",True,"Berggruen Institute","贝格鲁恩研究所",NULL
"Berklee College of Music",False,"Berklee College of Music","伯克利音乐学院",NULL
"Bern University of Applied Sciences",False,"Bern University of Applied Sciences","伯尔尼应用科技大学",NULL
"Bern University of the Arts",False,"Bern University of the Arts","伯尔尼艺术大学",NULL
"Bezalel Academy of Arts and Design",False,"Bezalel Academy of Arts and Design","贝扎雷尔艺术与设计学院",NULL
"Bibliotheca Hertziana - Max Planck Institute for Art History",True,"Bibliotheca Hertziana - Max Planck Institute for Art History","马普艺术史研究所赫尔茨图书馆","Sapienza University of Rome"
"Binghamton University",False,"Binghamton University","宾汉姆顿大学",NULL
"Birkbeck, University of London",False,"Birkbeck, University of London","伦敦大学伯贝克学院",NULL
"Birmingham City University",False,"Birmingham City University","伯明翰城市大学",NULL
"BISS Institute",True,"BISS Institute","BISS研究所",NULL
"BMOffice France",True,"BMOffice France","BMOffice法国",NULL
"BNU-HKBU United International College",False,"BNU-HKBU United International College","北京师范大学-香港浸会大学联合国际学院",NULL
"Bogazici University",False,"Bogazici University","博阿兹奇大学",NULL
"boris.kourtoukov.com",True,"boris.kourtoukov.com","boris.kourtoukov.com",NULL
"Bournemouth University",False,"Bournemouth University","伯恩茅斯大学",NULL
"Bowling Green State University",False,"Bowling Green State University","博林格林州立大学",NULL
"Brass Art",True,"Brass Art","Brass Art",NULL
"Brighton and Sussex Medical School",False,"Brighton and Sussex Medical School","布莱顿与苏塞克斯医学院",NULL
"BrilliantPR Digital Agency",True,"BrilliantPR Digital Agency","BrilliantPR数字代理公司",NULL
