"university_name","total_score"
"Carnegie Mellon University","2455.6065311113710924"
"Massachusetts Institute of Technology","1909.16692161299578170"
"City University of Hong Kong","1831.2947945313572868"
"Korea Advanced Institute of Science and Technology","1449.53824881031887500"
"The Hong Kong University of Science and Technology (Guangzhou)","1372.0145766840838689"
"University of Washington","1363.1950379556412973"
"Universidade Católica Portuguesa","1350.1534181212234649"
"Concordia University","1270.9443498295966514"
"Simon Fraser University","1264.8797105259026473"
"Zhejiang University","1226.9594867071319075"
"The University of Tokyo","1109.31492401701150305"
"University of Chicago","1060.5380210964268584"
"University of California, Santa Barbara","1019.21942536077503860000"
"Aalto University","972.08842183253911140000"
"The University of British Columbia","963.1028620609365249"
"University of California, Santa Cruz","923.1318395347880377"
"University of Coimbra","876.06539530713251010"
"University of California, San Diego","860.5966221142174596"
"The University of Texas at Austin","835.4747540600798184"
"The University of Michigan","827.6651786676017005"
"University of Lisbon","820.48580941398599060"
"University of Technology Sydney","811.9658124596994595"
"Goldsmiths, University of London","801.9811003813194081"
"University of Toronto","801.75363070944361110"
"Monash University","801.4829710416494817"
"RMIT University","786.07507329750566830000"
"Universidade Nova de Lisboa","778.85832887337418530"
"Northeastern University","766.61334996400458545"
"The Hong Kong University of Science and Technology","765.1963868377470229"
"University of California, Los Angeles","761.64944533330950830"
"University of Science and Technology Beijing","752.7040572208363387"
"Tsinghua University","716.0325983962026691"
"University College London","700.82947485560981120"
"Arizona State University","697.6534181212234650"
"Texas A&M University","696.4941269384130710"
"Stanford University","690.69650756050230210000"
"Purdue University","690.3899768684994177"
"Columbia University","673.4727945500233584"
"The University of New South Wales","669.4292999813290720"
"Aarhus University","660.4980809380025390"
"Queensland University of Technology","649.1947115272221082"
"University of York","631.1593136874113850"
"University of Oxford","616.0769931410176823"
"University of Calgary","613.4629836094441524"
"National Taiwan University","604.2235105080288542"
"Cornell University","601.4074167649441691"
"McGill University","588.5294630229767892"
"University of the Arts London","587.1912135118936994"
"Zurich University of the Arts","561.84550498100025870"
"University of Porto","560.18026848214069275"
